Person_ID,RD_No,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O699223,JC353600,07/28/2019 02:13:00 AM,3529 N HALSTED ST,DRIVER,-87.64930836,41.94632714,POINT (-87.64930836 41.94632714)
P258673,JE321561,07/31/2021 10:50:00 PM,7300 S RACINE AVE,PASSENGER,-87.65416583,41.76136917,POINT (-87.65416583 41.76136917)
O853602,JD170887,03/02/2020 02:07:00 AM,700 N LASALLE DR,DRIVER,-87.63282,41.89485,POINT (-87.63282 41.89485)
O775752,JC500358,11/06/2019 06:58:00 AM,3800 N MILWAUKEE AVE,CYCLIST,-87.74195,41.94999,POINT (-87.74195 41.94999)
O1304767,JF185594,03/24/2022 10:06:00 PM,7464 N SHERIDAN RD,CYCLIST,-87.66583922,42.01807519,POINT (-87.66583922 42.01807519)
O1133286,JE290581,07/05/2021 01:50:00 AM,1109 S INDEPENDENCE BLVD,DRIVER,-87.71942404,41.86774523,POINT (-87.71942404 41.86774523)
O1119787,JE268858,06/17/2021 01:32:00 AM,1550 N LAKE SHORE DR,DRIVER,-87.6239874,41.90250032,POINT (-87.6239874 41.90250032)
O992235,JD427835,11/11/2020 01:48:00 AM,5983 W JACKSON BLVD,DRIVER,-87.77393,41.876374,POINT (-87.77393 41.876374)
O1379539,JF319225,07/16/2022 12:53:00 PM,10730 S VINCENNES AVE,DRIVER,-87.65920347,41.69858237,POINT (-87.65920347 41.69858237)
O1289162,JF157310,02/27/2022 01:15:00 AM,4533 W NORTH AVE,DRIVER,-87.74021558,41.90958979,POINT (-87.74021558 41.90958979)
O975453,JD396662,10/12/2020 07:35:00 AM,5800 N PULASKI RD,DRIVER,-87.72866342,41.98592799,POINT (-87.72866342 41.98592799)
O556614,JC103230,01/03/2019 03:01:00 PM,4400 N CENTRAL AVE,PEDESTRIAN,-87.76739,41.960528,POINT (-87.76739 41.960528)
O740769,JC436945,09/17/2019 12:00:00 AM,530 N LA SALLE DR,PEDESTRIAN,-87.63273,41.891682,POINT (-87.63273 41.891682)
O1306483,JF188687,03/27/2022 10:35:00 PM,3350 S KEDZIE AVE,PEDESTRIAN,-87.7048204,41.8319601,POINT (-87.7048204 41.8319601)
O1140174,JE301950,07/15/2021 03:46:00 AM,8120 S HOUSTON,PEDESTRIAN,-87.55054085,41.74765213,POINT (-87.55054085 41.74765213)
O1194219,JE390072,09/28/2021 09:50:00 AM,8106 S RACINE AVE,PEDESTRIAN,-87.65378117,41.74659471,POINT (-87.65378117 41.74659471)
P205530,JD264551,06/15/2020 07:07:00 AM,3739 W HARRISON ST,PASSENGER,-87.71973354,41.87340547,POINT (-87.71973354 41.87340547)
O1389413,JF336725,07/29/2022 09:00:00 PM,425 W 103RD,MOTORCYCLIST,-87.63662176,41.70710702,POINT (-87.63662176 41.70710702)
O805341,JC547392,12/15/2019 05:00:00 AM,400 W POLK ST,DRIVER,-87.63771,41.872159,POINT (-87.63771 41.872159)
P217433,JD358180,09/06/2020 04:27:00 AM,3000 S LAKE SHORE DR SB,PASSENGER,-87.60938,41.839965,POINT (-87.60938 41.839965)
O1026070,JE115384,01/17/2021 11:40:00 AM,200 W 98TH PL,DRIVER,-87.62868,41.716313,POINT (-87.62868 41.716313)
O1093089,JE217785,05/03/2021 01:58:00 AM,2145 N ASHLAND AVE,DRIVER,-87.66841182,41.92107916,POINT (-87.66841182 41.92107916)
O573953,JC124927,01/21/2019 08:56:00 PM,10355 S KEDZIE AVE,DRIVER,-87.70114,41.704506,POINT (-87.70114 41.704506)
O1245790,JE476125,12/13/2021 02:11:00 PM,601 E 75TH ST,PEDESTRIAN,-87.61019211,41.75837658,POINT (-87.61019211 41.75837658)
O814537,JD101193,01/01/2020 11:18:00 PM,1448 W 112TH PL,DRIVER,-87.65875,41.689427,POINT (-87.65875 41.689427)
O989412,JD422346,11/05/2020 11:05:00 PM,4033 W FULLERTON AVE,MOTORCYCLIST,-87.72813,41.924359,POINT (-87.72813 41.924359)
O1164310,JE341406,08/18/2021 11:09:00 AM,3151 W ROOSEVELT RD,PEDESTRIAN,-87.70518242,41.86630403,POINT (-87.70518242 41.86630403)
O1236022,JE459806,11/29/2021 01:06:00 AM,733 W 25TH ST,DRIVER,-87.64505542,41.84685372,POINT (-87.64505542 41.84685372)
O1369140,JF299101,07/29/2022 06:45:00 PM,2722 W 23RD ST,PEDESTRIAN,-87.69390769,41.85021161,POINT (-87.69390769 41.85021161)
P229718,JD469602,12/26/2020 03:12:00 AM,300 E 63RD ST,DRIVER,-87.61882,41.780291,POINT (-87.61882 41.780291)
O929442,JD316892,07/31/2020 10:40:00 PM,457 W 76TH ST,DRIVER,-87.63672,41.756109,POINT (-87.63672 41.756109)
O580145,JC142493,02/06/2019 03:35:00 PM,4325 W NORTH AVE,PEDESTRIAN,-87.73482,41.909665,POINT (-87.73482 41.909665)
O1170318,JE351366,08/26/2021 02:30:00 AM,4601 W NORTH AVE,DRIVER,-87.74142821,41.90957303,POINT (-87.74142821 41.90957303)
O1168211,JE347934,08/24/2021 05:29:00 AM,3335 E 79TH ST,DRIVER,-87.70619524,41.74957132,POINT (-87.70619524 41.74957132)
O682953,JC328580,06/30/2019 12:00:00 PM,9859 S VAN VLISSINGEN RD,PEDESTRIAN,-87.5742,41.715622,POINT (-87.5742 41.715622)
O1404127,JF366819,08/23/2022 01:40:00 AM,6699 N WESTERN AVE,PEDESTRIAN,-87.68987491,42.00309981,POINT (-87.68987491 42.00309981)
,X202000000000,03/18/2020 04:14:00 PM,REPORTED BY ROSEMONT POLICE DEPARTMENT,DRIVER,-87.88940645,41.99921279,POINT (-87.88940645 41.99921279)
O1346204,JF258108,05/27/2022 07:01:00 PM,3032 W NORTH AVE,PEDESTRIAN,-87.70351003,41.91027069,POINT (-87.70351003 41.91027069)
O1295383,JF168894,03/10/2022 03:00:00 AM,5026 S LAKE SHORE DR,DRIVER,-87.58211308,41.80357874,POINT (-87.58211308 41.80357874)
O1127533,JE281116,06/27/2021 10:54:00 AM,5211 S ASHLAND AVE,DRIVER,-87.66457483,41.79912388,POINT (-87.66457483 41.79912388)
O1413212,JF383264,09/04/2022 08:10:00 PM,730 S CICERO AVE,PEDESTRIAN,-87.74507283,41.87124253,POINT (-87.74507283 41.87124253)
